threshold,n_base,total_pnl_base,n_rich,total_pnl_rich
1e-05,0,0.0,0,0
2e-05,0,0.0,0,0
3.0000000000000004e-05,0,0.0,0,0
4e-05,0,0.0,0,0
5e-05,0,0.0,0,0
6e-05,0,0.0,0,0
7.000000000000001e-05,0,0.0,0,0
8e-05,0,0.0,0,0
9e-05,0,0.0,0,0
0.0001,0,0.0,0,0
0.00011,0,0.0,0,0
0.00012,0,0.0,0,0
0.00013000000000000002,0,0.0,0,0
0.00014000000000000001,0,0.0,0,0
0.00015000000000000001,0,0.0,0,0
0.00016,0,0.0,0,0
0.00017,0,0.0,0,0
0.00018,0,0.0,0,0
0.00019,0,0.0,0,0
0.0002,0,0.0,0,0
0.0003,0,0.0,0,0
0.00037777777777777777,0,0.0,0,0
0.00045555555555555556,0,0.0,0,0
0.0005333333333333334,0,0.0,0,0
0.0006111111111111111,0,0.0,0,0
0.000688888888888889,0,0.0,0,0
0.0007666666666666668,0,0.0,0,0
0.0008444444444444445,0,0.0,0,0
0.0009222222222222223,0,0.0,0,0
0.001,0,0.0,0,0
0.002,0,0.0,0,0
0.0028888888888888888,0,0.0,0,0
0.003777777777777778,0,0.0,0,0
0.004666666666666667,0,0.0,0,0
0.005555555555555556,0,0.0,0,0
0.0064444444444444445,0,0.0,0,0
0.007333333333333334,0,0.0,0,0
0.008222222222222223,0,0.0,0,0
0.009111111111111111,0,0.0,0,0
0.01,0,0.0,0,0
